json_game_id,proplay_game_id,flip_label,league
115548128962971916,LOLTMNT02_395739,0,LCK
115548128962971917,LOLTMNT02_395741,0,LCK
115615926677896632,13256-13256_game_1,0,LPL
115615926677896633,13256-13256_game_2,1,LPL
115615926677896634,13256-13256_game_3,0,LPL
115548668059523645,LOLTMNT04_159240,0,LEC
115548668059523646,LOLTMNT04_159248,0,LEC
115548668059523701,LOLTMNT04_159260,0,LEC
115548668059523702,LOLTMNT04_159264,1,LEC
115565670260116270,LOLTMNT01_371808,0,CBLOL
115565670260116271,LOLTMNT01_372735,0,CBLOL
115564793879338121,LOLTMNT01_371869,0,LCS
115564793879338122,LOLTMNT01_372786,0,LCS
115564793879469269,LOLTMNT01_372810,0,LCS
115564793879469270,LOLTMNT01_371921,0,LCS
115564793879469271,LOLTMNT01_371932,0,LCS
115548668059523721,LOLTMNT04_159286,0,LEC
115548668059523722,LOLTMNT04_159287,1,LEC
115548668059523723,LOLTMNT04_160242,0,LEC
115548668059523741,LOLTMNT04_159298,0,LEC
115548668059523742,LOLTMNT04_159302,0,LEC
115548668059523743,LOLTMNT04_159303,0,LEC
115548128963037532,LOLTMNT01_375534,0,LCK
115548128963037533,LOLTMNT01_375573,1,LCK
115615926677896656,13257-13257_game_1,0,LPL
115615926677896657,13257-13257_game_2,0,LPL
115615926677896658,13257-13257_game_3,0,LPL
115615926677896676,13258-13258_game_1,0,LPL
115615926677896677,13258-13258_game_2,0,LPL
115615926677896678,13258-13258_game_3,0,LPL
115548128962840656,LOLTMNT05_185757,0,LCK
115548128962840657,LOLTMNT05_185758,1,LCK
115615926677896668,13246-13246_game_1,0,LPL
115615926677896669,13246-13246_game_2,1,LPL
115548128962840620,LOLTMNT05_185774,0,LCK
115548128962840621,LOLTMNT05_185776,1,LCK
115615926677896636,13247-13247_game_1,0,LPL
115615926677896637,13247-13247_game_2,1,LPL
115615924499588646,13248-13248_game_1,0,LPL
115615926685761097,13248-13248_game_2,0,LPL
115615926685761098,13248-13248_game_3,1,LPL
115548128962840676,LOLTMNT02_394154,0,LCK
115548128962840677,LOLTMNT02_395149,0,LCK
115615924499588640,13249-13249_game_1,0,LPL
115615926685761091,13249-13249_game_2,0,LPL
115615926685761092,13249-13249_game_3,0,LPL
115548128962906228,LOLTMNT02_395369,0,LCK
115548128962906229,LOLTMNT02_394364,0,LCK
115615926677831080,13250-13250_game_1,1,LPL
115615926677831081,13250-13250_game_2,1,LPL
115548128962906312,LOLTMNT02_395396,0,LCK
115548128962906313,LOLTMNT02_395404,0,LCK
115548128962906314,LOLTMNT02_395414,1,LCK
115615926677896664,13251-13251_game_1,1,LPL
115615926677896665,13251-13251_game_2,0,LPL
115615926677896666,13251-13251_game_3,1,LPL
115615926677896672,13252-13252_game_1,0,LPL
115615926677896673,13252-13252_game_2,1,LPL
115615926677896674,13252-13252_game_3,1,LPL
115548128963037524,LOLTMNT02_395585,0,LCK
115548128963037525,LOLTMNT02_395589,1,LCK
115548128963037526,LOLTMNT02_394531,0,LCK
115548128962906216,LOLTMNT05_185400,0,LCK
115548128962906217,LOLTMNT05_185401,0,LCK
115615924499588650,13237-13237_game_1,0,LPL
115615926685761101,13237-13237_game_2,1,LPL
115615924499588602,13238-13238_game_1,0,LPL
115615926685695517,13238-13238_game_2,0,LPL
115548668059523745,LOLTMNT05_186470,0,LEC
115548668059523746,LOLTMNT05_186480,0,LEC
115548668059523697,LOLTMNT05_185468,0,LEC
115548668059523698,LOLTMNT05_185471,0,LEC
115615924499588622,13239-13239_game_1,0,LPL
115615926685695537,13239-13239_game_2,0,LPL
115548128962840640,LOLTMNT02_388457,0,LCK
115548128962840641,LOLTMNT02_388485,1,LCK
115615924499588614,13240-13240_game_1,1,LPL
115615926685695529,13240-13240_game_2,1,LPL
115548128962906236,LOLTMNT05_185498,0,LCK
115548128962906237,LOLTMNT05_185506,0,LCK
115615926677831084,13241-13241_game_1,0,LPL
115615926677896621,13241-13241_game_2,1,LPL
115615926677896622,13241-13241_game_3,0,LPL
115548668059523693,LOLTMNT05_186550,0,LEC
115548668059523694,LOLTMNT05_186551,0,LEC
115548668059523695,LOLTMNT05_185529,0,LEC
115548668059523749,LOLTMNT05_185539,0,LEC
115548668059523750,LOLTMNT05_186562,1,LEC
115548668059523751,LOLTMNT05_185540,0,LEC
115564793879403697,LOLTMNT02_389093,0,LCS
115564793879403698,LOLTMNT02_389113,1,LCS
115564793879403685,LOLTMNT02_389144,0,LCS
115564793879403686,LOLTMNT02_388989,1,LCS
115548128962840632,LOLTMNT02_390173,0,LCK
115548128962840633,LOLTMNT02_390189,0,LCK
115615924499588648,13242-13242_game_1,0,LPL
115615926685761099,13242-13242_game_2,0,LPL
115548128962906280,LOLTMNT05_185559,0,LCK
115548128962906281,LOLTMNT05_185563,0,LCK
115615926677896644,13243-13243_game_1,1,LPL
115615926677896645,13243-13243_game_2,0,LPL
115548668059523677,LOLTMNT05_185596,0,LEC
115548668059523678,LOLTMNT05_185599,0,LEC
115548668059523679,LOLTMNT05_186617,0,LEC
115565670260116210,LOLTMNT02_389612,0,CBLOL
115565670260116211,LOLTMNT02_389640,1,CBLOL
115565670260116212,LOLTMNT02_390531,0,CBLOL
115548668059589341,LOLTMNT05_185611,0,LEC
115548668059589342,LOLTMNT05_185612,0,LEC
115548668059589343,LOLTMNT05_185613,1,LEC
115565670260116242,LOLTMNT02_390565,0,CBLOL
115565670260116243,LOLTMNT02_390601,0,CBLOL
115564793879403717,LOLTMNT02_390611,0,LCS
115564793879403718,LOLTMNT02_390623,1,LCS
115564793879338129,LOLTMNT02_390637,0,LCS
115564793879338130,LOLTMNT02_390647,0,LCS
115564793879338131,LOLTMNT02_390651,0,LCS
115615924499588578,13244-13244_game_1,0,LPL
115615926685695493,13244-13244_game_2,1,LPL
115615924499588630,13245-13245_game_1,0,LPL
115615926685761081,13245-13245_game_2,0,LPL
115615924499588576,13232-13232_game_1,0,LPL
115615926685695491,13232-13232_game_2,1,LPL
115548668059523709,LOLTMNT05_185104,0,LEC
115548668059523710,LOLTMNT05_186068,0,LEC
115565670260116230,LOLTMNT02_382172,0,CBLOL
115565670260116231,LOLTMNT02_382188,0,CBLOL
115565670260116232,LOLTMNT02_381206,0,CBLOL
115548668059523657,LOLTMNT05_186082,0,LEC
115548668059523658,LOLTMNT05_186083,0,LEC
115565670260116282,LOLTMNT02_382217,0,CBLOL
115565670260116283,LOLTMNT02_381239,0,CBLOL
115565670260116284,LOLTMNT02_381251,1,CBLOL
115564793879469277,LOLTMNT02_381247,0,LCS
115564793879469278,LOLTMNT02_382257,1,LCS
115564793879403709,LOLTMNT02_381269,0,LCS
115564793879403710,LOLTMNT02_382276,0,LCS
115564793879403711,LOLTMNT02_382280,1,LCS
115548668059523753,LOLTMNT05_186098,0,LEC
115548668059523754,LOLTMNT05_185133,0,LEC
115548668059589321,LOLTMNT05_185144,0,LEC
115548668059589322,LOLTMNT05_185146,0,LEC
115615924499588628,13233-13233_game_1,0,LPL
115615926685761079,13233-13233_game_2,0,LPL
115548128962840624,LOLTMNT02_383315,0,LCK
115548128962840625,LOLTMNT02_384348,0,LCK
115548128962840626,LOLTMNT02_384385,1,LCK
115615924499588582,13234-13234_game_1,0,LPL
115615926685695497,13234-13234_game_2,1,LPL
115548128962906256,LOLTMNT05_186248,0,LCK
115548128962906257,LOLTMNT05_186249,1,LCK
