game_id,tournament,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,first_to_ten,blue_time10,red_time10,ft10_ambiguous,blue_kills10,red_kills10
LOLTMNT01_387878,LCK,T1,Gen.G,"Ornn,Lee Sin,Anivia,Caitlyn,Lux","Sion,Wukong,Annie,Jhin,Karma","Doran,Oner,Faker,Peyz,Keria","Kiin,Canyon,Chovy,Ruler,Duro",red,15.8298,12.33125,0,blue,20.163616666666666,32.33188333333333,0,1,2
LOLTMNT01_387885,LCK,T1,Gen.G,"Jayce,Vi,Cassiopeia,Mel,Camille","K'Sante,Pantheon,Taliyah,Corki,Neeko","Doran,Oner,Faker,Peyz,Keria","Kiin,Canyon,Chovy,Ruler,Duro",red,22.832966666666668,8.161533333333333,0,red,24.820816666666666,15.999533333333334,0,2,5
LOLTMNT01_382057,LCK,T1,Dplus Kia,"Yorick,Xin Zhao,Twisted Fate,Ashe,Lulu","Rumble,Trundle,Sylas,Caitlyn,Seraphine","Doran,Oner,Faker,Peyz,Keria","Siwoo,Lucid,ShowMaker,Smash,Career",red,16.65895,11.498349999999999,0,blue,22.99771666666667,,0,1,1
LOLTMNT01_382071,LCK,T1,Dplus Kia,"Ambessa,Vi,Anivia,Ezreal,Neeko","Sion,Jarvan IV,Viktor,Lucian,Milio","Doran,Oner,Faker,Peyz,Keria","Siwoo,Lucid,ShowMaker,Smash,Career",red,18.6586,16.6663,0,red,26.66215,21.829733333333333,0,0,2
LOLTMNT02_414612,LCK,T1,KT Rolster,"Rumble,Vi,Anivia,Xayah,Rakan","Yorick,Wukong,Ryze,Lucian,Milio","Doran,Oner,Faker,Peyz,Keria","PerfecT,Cuzz,Bdd,Aiming,Effort",red,20.99748333333333,16.993833333333335,0,blue,28.8301,,0,2,3
LOLTMNT02_413783,LCK,T1,KT Rolster,"Olaf,Xin Zhao,Akali,Ashe,Seraphine","Jayce,Lee Sin,Annie,Mel,Nautilus","Doran,Oner,Faker,Peyz,Keria","PerfecT,Cuzz,Bdd,Aiming,Effort",red,24.663933333333333,12.990233333333332,0,red,26.656716666666668,24.8307,0,0,2
LOLTMNT01_384714,LCK,T1,Nongshim RedForce,"Sion,Xin Zhao,Ryze,Ashe,Seraphine","Ambessa,Jarvan IV,Twisted Fate,Ezreal,Neeko","Doran,Oner,Faker,Peyz,Keria","Kingen,Sponge,Scout,Diable,Pleata",red,12.827316666666666,9.999866666666666,0,blue,17.829866666666664,,0,4,5
LOLTMNT01_383765,LCK,Nongshim RedForce,T1,"Rumble,Pantheon,Viktor,Corki,Nami","K'Sante,Wukong,Akali,Lucian,Milio","Kingen,Sponge,Scout,Diable,Pleata","Doran,Oner,Faker,Peyz,Keria",blue,11.832916666666668,15.494483333333333,0,red,28.496666666666666,21.99525,0,3,2
LOLTMNT02_395739,LCK,BNK FEARX,DN SOOPers,"Gnar,Pantheon,Annie,Lucian,Milio","Renekton,Jarvan IV,Aurora,Ashe,Seraphine","Clear,Raptor,VicLa,Taeyoon,Kellin","DuDu,Pyosik,Clozer,deokdam,Life",red,16.495433333333335,16.495433333333335,1,blue,22.662916666666668,,0,2,1
LOLTMNT02_395741,LCK,BNK FEARX,DN SOOPers,"Vayne,Trundle,Azir,Ezreal,Neeko","Ambessa,Xin Zhao,Sylas,Yunara,Lulu","Clear,Raptor,VicLa,Taeyoon,Kellin","DuDu,Pyosik,Clozer,deokdam,Life",blue,8.333,14.832216666666666,0,blue,11.9984,29.9991,0,8,2
LOLTMNT01_378144,LCK,BNK FEARX,HANJIN BRION,"Renekton,Pantheon,Anivia,Ezreal,Bard","Gnar,Nocturne,Ryze,Jhin,Neeko","Clear,Raptor,VicLa,Taeyoon,Kellin","Casting,GIDEON,Roamer,Teddy,Namgung",red,24.99188333333333,12.984983333333334,0,red,,24.8326,0,0,1
LOLTMNT01_378170,LCK,HANJIN BRION,BNK FEARX,"Zaahen,Trundle,Aurora,Lucian,Milio","Ambessa,Vi,Ahri,Ashe,Seraphine","Casting,GIDEON,Roamer,Teddy,Namgung","Clear,Raptor,VicLa,Taeyoon,Kellin",blue,16.4983,23.49495,0,blue,20.9989,28.329633333333334,0,2,1
LOLTMNT01_387134,LCK,BNK FEARX,Gen.G,"Renekton,Vi,Akali,Ashe,Seraphine","Sion,Jarvan IV,Cassiopeia,Lucian,Milio","Clear,Raptor,VicLa,Taeyoon,Kellin","Kiin,Canyon,Chovy,Ruler,Duro",red,31.333066666666664,25.658933333333334,0,red,,29.333199999999998,0,1,0
