game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10015-10015_game_2,LPL,2023,EDward Gaming,Bilibili Gaming,"Aphelios,Wukong,Ahri,Nautilus,Gragas","Xayah,Sejuani,Akali,Renata Glasc,Jax","Leave,Jiejie,FoFo,Meiko,Ale","Elk,Xun,Yagao,ON,Bin",0.4847,0.6178,blue,20.0,20.0
10015-10015_game_3,LPL,2023,Bilibili Gaming,EDward Gaming,"Zeri,Vi,Annie,Rakan,Renekton","Aphelios,Wukong,Ahri,Renata Glasc,Gnar","Elk,Xun,Yagao,ON,Bin","Leave,Jiejie,FoFo,Meiko,Ale",0.6681,0.4746,blue,20.0,20.0
10015-10015_game_4,LPL,2023,EDward Gaming,Bilibili Gaming,"Aphelios,Viego,Lissandra,Thresh,Jax","Xayah,Kindred,Veigar,Blitzcrank,Renekton","Leave,Jiejie,FoFo,Meiko,Ale","Elk,Xun,Yagao,ON,Bin",0.5323,0.6338,blue,20.0,20.0
10015-10015_game_5,LPL,2023,Bilibili Gaming,EDward Gaming,"Jinx,Wukong,Veigar,Nautilus,Kennen","Aphelios,Vi,Ahri,Rakan,Malphite","Elk,Xun,Yagao,ON,Bin","Leave,Jiejie,FoFo,Meiko,Ale",0.6865,0.5413,blue,20.0,20.0
10016-10016_game_1,LPL,2023,JD Gaming,Bilibili Gaming,"Jinx,Vi,Annie,Lulu,K'Sante","Aphelios,Wukong,Veigar,Thresh,Jax","Ruler,Kanavi,Knight,MISSING,369","Elk,Xun,Yagao,ON,Bin",0.666,0.6194,red,20.0,20.0
10016-10016_game_2,LPL,2023,Bilibili Gaming,JD Gaming,"Aphelios,Kindred,Galio,Blitzcrank,Jax","Jinx,Wukong,Ahri,Rakan,K'Sante","Elk,Xun,Yagao,ON,Bin","Ruler,Kanavi,Knight,MISSING,369",0.6199,0.7395,red,20.0,20.0
10016-10016_game_3,LPL,2023,Bilibili Gaming,JD Gaming,"Xayah,Vi,Ahri,Nautilus,Gwen","Aphelios,Wukong,Lissandra,Tahm Kench,K'Sante","Elk,Xun,Yagao,ON,Bin","Ruler,Kanavi,Knight,MISSING,369",0.6116,0.5509,blue,20.0,20.0
10016-10016_game_4,LPL,2023,JD Gaming,Bilibili Gaming,"Jinx,Wukong,Ahri,Thresh,Gragas","Xayah,Vi,Syndra,Nautilus,Fiora","Ruler,Kanavi,Knight,MISSING,369","Elk,Xun,Yagao,ON,Bin",0.7673,0.5818,red,20.0,20.0
10149-10149_game_1,LPL,2023,Ultra Prime,Anyone's Legend,"Kog'Maw,Wukong,K'Sante,Milio,Rumble","Aphelios,Viego,Ahri,Lulu,Gragas","Doggo,Ning,Forge,SwordArt,Hery","zhiqiuyi,Xiaohao,pinz,Zorah,Zdz",0.15,0.404,red,20.0,20.0
10149-10149_game_2,LPL,2023,Anyone's Legend,Ultra Prime,"Aphelios,Viego,Syndra,Karma,K'Sante","Jinx,Vi,Neeko,Lulu,Gnar","zhiqiuyi,Xiaohao,pinz,Zorah,Zdz","Doggo,Ning,Forge,SwordArt,Hery",0.1823,0.4968,red,20.0,20.0
