game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
LOLTMNT05_27752,LEC,2024,Team BDS,G2 Esports,"Rumble,Volibear,Azir,Kai'Sa,Rakan","Sion,Rek'Sai,Taliyah,Aphelios,Janna","Adam,Sheo,nuc,Ice,Labrov","BrokenBlade,Yike,Caps,Hans Sama,Mikyx",blue,13.3307,13.496,0,4,2,,,,,0.5338,0.3855
LOLTMNT02_71576,CBLOL,2024,LOUD,paiN Gaming,"Jax,Lee Sin,Hwei,Lucian,Nami","Rek'Sai,Vi,Karma,Aphelios,Lulu","Robo,Croc,tinowns,Route,RedBert","Wizer,CarioK,dyNquedo,TitaN,Kuri",red,30.1657,15.333,0,1,2,,,,,0.3843,0.2562
LOLTMNT02_71579,CBLOL,2024,paiN Gaming,LOUD,"Gnar,Lee Sin,Aurelion Sol,Kalista,Renata Glasc","Olaf,Sejuani,Hwei,Senna,Tahm Kench","Wizer,CarioK,dyNquedo,TitaN,Kuri","Robo,Croc,tinowns,Route,RedBert",blue,11.4965,30.0,0,3,0,,,,,0.5562,0.1192
LOLTMNT05_27770,LEC,2024,Fnatic,Team Vitality,"K'Sante,Vi,Diana,Kalista,Ashe","Malphite,Volibear,Ahri,Varus,Rumble","Oscarinin,Razork,Humanoid,Noah,Jun","Photon,Daglas,Vetheo,Carzzy,Hylissang",red,9.9945,9.9945,0,6,5,,,,,0.5161,1.2258
LOLTMNT05_27771,LEC,2024,Fnatic,Team Vitality,"Rek'Sai,Jax,Azir,Xayah,Blitzcrank","Jayce,Volibear,Taliyah,Varus,Rakan","Oscarinin,Razork,Humanoid,Noah,Jun","Photon,Daglas,Vetheo,Carzzy,Hylissang",blue,11.4988,16.1615,0,4,0,,,,,1.0124,0.7511
LOLTMNT05_28770,LEC,2024,Team Vitality,Fnatic,"Aatrox,Sejuani,Orianna,Senna,Tahm Kench","Zac,Vi,Ahri,Varus,Rakan","Photon,Daglas,Vetheo,Carzzy,Hylissang","Oscarinin,Razork,Humanoid,Noah,Jun",red,15.6624,14.329,0,2,1,,,,,1.0548,0.2434
LOLTMNT05_27779,LEC,2024,Fnatic,Team Vitality,"Zac,Vi,Azir,Varus,Renata Glasc","Renekton,Sejuani,Akali,Xayah,Rakan","Oscarinin,Razork,Humanoid,Noah,Jun","Photon,Daglas,Vetheo,Carzzy,Hylissang",red,13.499,12.821,0,0,2,,,,,0.7064,0.5651
10953-10953_game_1,LPL,2024,JD Gaming,Ninjas in Pyjamas,"Rek'Sai,Vi,Azir,Kalista,Ashe","Udyr,Xin Zhao,Taliyah,Jinx,Nautilus","Flandre,Kanavi,Yagao,Ruler,MISSING","shanji,Aki,Rookie,Photic,Zhuo",blue,17.1641,22.826,0,2,1,,,,,0.4739,0.2528
10953-10953_game_2,LPL,2024,Ninjas in Pyjamas,JD Gaming,"Nasus,Sejuani,Taliyah,Varus,Ashe","Twisted Fate,Jax,Karma,Zeri,Nautilus","shanji,Aki,Rookie,Photic,Zhuo","Flandre,Kanavi,Yagao,Ruler,MISSING",red,21.9992,18.6652,0,1,1,,,,,0.3892,0.4217
10953-10953_game_3,LPL,2024,Ninjas in Pyjamas,JD Gaming,"Udyr,Vi,Taliyah,Tristana,Rakan","Twisted Fate,Rek'Sai,Azir,Zeri,Nautilus","shanji,Aki,Rookie,Photic,Zhuo","Flandre,Kanavi,Yagao,Ruler,MISSING",blue,8.3331,9.6662,0,5,5,,,,,0.4709,0.74
