game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
LOLTMNT05_122466,2025-04-01,2025,PRM,TeamOrangeGaming,Dung Dynasty,1,"Gnar,Vi,Ahri,Ezreal,Braum","Malphite,Jarvan IV,Sylas,Corki,Nautilus","Smurfe,Cboi,Six10,Vzz,Infoneral","Send0o,Agurin,Phantasm,Reptile,Lucky"
LOLTMNT05_122467,2025-04-01,2025,PRM,Dung Dynasty,TeamOrangeGaming,1,"Poppy,Elise,Quinn,Kai'Sa,Alistar","Ambessa,Sejuani,Azir,Tristana,Lulu","Send0o,Agurin,Phantasm,Reptile,Lucky","Smurfe,Cboi,Six10,Vzz,Infoneral"
LOLTMNT05_122469,2025-04-01,2025,PRM,Dung Dynasty,TeamOrangeGaming,1,"Cassiopeia,Xin Zhao,Taliyah,Aphelios,Janna","Ornn,Pantheon,Aurora,Kalista,Renata Glasc","Send0o,Agurin,Phantasm,Reptile,Lucky","Smurfe,Cboi,Six10,Vzz,Infoneral"
LOLTMNT05_122472,2025-04-01,2025,PRM,E WIE EINFACH E-SPORTS,Eintracht Frankfurt,1,"K'Sante,Gwen,Corki,Jhin,Rell","Gnar,Naafiri,Ahri,Varus,Alistar","Rocklho,Afroboi,Relative,Noz2k,Tockimo","Sacre,Techoteco,ZaZee,Varry,Veignorem"
LOLTMNT05_121523,2025-04-02,2025,PRM,Eintracht Spandau,ROSSMANN Centaurs,0,"Aurora,Nocturne,Viktor,Sivir,Camille","Ryze,Vi,Orianna,Ezreal,Pyke","Pride,jokaa,PowerOfEvil,Broeki,Lilipp","Nice Guy Ben,Xagog,RoyalKanin,Syzyfek,Wildenbruch"
LOLTMNT05_121530,2025-04-02,2025,PRM,Kaufland Hangry Knights,Unicorns of Love Sexy Edition,0,"Jayce,Naafiri,Syndra,Ezreal,Alistar","Ambessa,Skarner,Azir,Tristana,Rell","Venour,Rabble,Random,Jeskla,Visdom","Fornoreason,White,Simpli,DenVoksne,seaz"
LOLTMNT05_121538,2025-04-02,2025,PRM,Unicorns of Love Sexy Edition,Kaufland Hangry Knights,0,"Rumble,Wukong,Aurora,Miss Fortune,Galio","Gnar,Xin Zhao,Vladimir,Corki,Rakan","Fornoreason,White,Simpli,DenVoksne,seaz","Venour,Rabble,Random,Jeskla,Visdom"
LOLTMNT05_122495,2025-04-02,2025,PRM,ROSSMANN Centaurs,Eintracht Spandau,1,"Gragas,Pantheon,Taliyah,Varus,Nautilus","Cho'Gath,Sejuani,Tristana,Corki,Bard","Nice Guy Ben,Xagog,RoyalKanin,Syzyfek,Wildenbruch","Pride,jokaa,PowerOfEvil,Broeki,Lilipp"
LOLTMNT05_122517,2025-04-02,2025,PRM,Kaufland Hangry Knights,Unicorns of Love Sexy Edition,1,"Renekton,Maokai,Ahri,Kai'Sa,Blitzcrank","Aatrox,Jarvan IV,Viktor,Zeri,Pyke","Venour,Rabble,Random,Jeskla,Visdom","Fornoreason,White,Simpli,DenVoksne,seaz"
LOLTMNT02_241881,2025-04-03,2025,LCKC,HANJIN BRION Challengers,KT Rolster Challengers,0,"Sion,Naafiri,Ryze,Ezreal,Leona","Rumble,Poppy,Azir,Corki,Alistar","Lonely,HamBak,Starlit,Bull,Kice","Casting,YoungJae,Zinie,Paduck,Way"
