game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_kills15,red_kills15,blue_kills20,red_kills20,blue_kills25,red_kills25,blue_golddiff10,red_golddiff10,blue_fb,blue_ckpm,red_ckpm
LOLTMNT01_231424,LCKC,2025,Gen.G Global Academy,Hanwha Life Esports Challengers,"Jayce,Xin Zhao,Taliyah,Kai'Sa,Nautilus","Gwen,Sejuani,Azir,Ezreal,Leona","Hanbyeol,Winner,Kemish,About,Namgung","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing",blue,15.0,15.0,1,3.0,3.0,6.0,7.0,9.0,18.0,14.0,25.0,122.0,-122.0,1.0,1.7986,1.7986
LOLTMNT01_231428,LCKC,2025,HANJIN BRION Challengers,DRX Challengers,"Ziggs,Poppy,Azir,Draven,Alistar","Aatrox,Xin Zhao,Taliyah,Varus,Bard","Levy,Ellim,Starlit,Bull,Kice","Frog,Juhan,kyeahoo,LazyFeel,Andil",blue,15.0,15.0,1,2.0,3.0,5.0,5.0,5.0,7.0,7.0,8.0,-269.0,269.0,1.0,0.8583,0.8583
LOLTMNT01_232002,LCKC,2025,HANJIN BRION Challengers,DRX Challengers,"Galio,Naafiri,Yone,Sivir,Rakan","Rumble,Skarner,Tristana,Ezreal,Nidalee","Levy,Ellim,Starlit,Bull,Kice","Frog,Juhan,kyeahoo,LazyFeel,Andil",blue,20.0,30.0,0,3.0,3.0,4.0,4.0,8.0,4.0,8.0,5.0,-1242.0,1242.0,0.0,0.8507,0.8507
LOLTMNT01_235728,LCKC,2025,DRX Challengers,Dplus Kia Challengers,"Ambessa,Naafiri,Ahri,Zeri,Rakan","Gwen,Xin Zhao,Ryze,Kai'Sa,Rell","Frog,Juhan,kyeahoo,LazyFeel,Pleata","Jaehyuk,Sharvel,Garden,Wayne,Berr",red,30.0,20.0,0,1.0,2.0,1.0,2.0,3.0,6.0,6.0,9.0,-523.0,523.0,0.0,0.5476,0.5476
LOLTMNT01_235790,LCKC,2025,Nongshim Esports Academy,T1 Esports Academy,"Yorick,Sejuani,Zoe,Ezreal,Braum","Camille,Ambessa,Taliyah,Kai'Sa,Alistar","Kangin,Sylvie,Fisher,vital,Crack","Haetae,Vincenzo,Poby,Smash,Cloud",blue,10.0,10.0,1,5.0,5.0,7.0,9.0,9.0,14.0,10.0,22.0,-254.0,254.0,1.0,1.4745,1.4745
LOLTMNT01_236160,LCKC,2025,BNK FEARX Youth,HANJIN BRION Challengers,"Aatrox,Vi,Aurora,Kai'Sa,Neeko","Rumble,Naafiri,Taliyah,Draven,Nautilus","Soboro,Willer,Daystar,Envyy,Career","Levy,Ellim,Starlit,Bull,Kice",blue,20.0,20.0,1,2.0,1.0,4.0,2.0,8.0,5.0,8.0,5.0,429.0,-429.0,1.0,0.9307,0.9307
LOLTMNT01_236164,LCKC,2025,BNK FEARX Youth,HANJIN BRION Challengers,"Gragas,Xin Zhao,Azir,Ezreal,Elise","Sion,Lillia,Yone,Miss Fortune,Pantheon","Soboro,Willer,Daystar,Envyy,Career","Levy,Ellim,Starlit,Bull,Kice",red,30.0,15.0,0,2.0,4.0,3.0,5.0,7.0,6.0,11.0,8.0,-893.0,893.0,1.0,0.9915,0.9915
LOLTMNT01_236210,LCKC,2025,Dplus Kia Challengers,DRX Challengers,"Jayce,Sejuani,Yone,Jhin,Poppy","Yorick,Skarner,Azir,Tristana,Alistar","Jaehyuk,Sharvel,Garden,Wayne,Berr","Frog,Juhan,kyeahoo,LazyFeel,Pleata",red,30.0,15.0,0,1.0,4.0,2.0,6.0,4.0,7.0,5.0,11.0,-1638.0,1638.0,0.0,0.8262,0.8262
LOLTMNT01_236223,LCKC,2025,T1 Esports Academy,Nongshim Esports Academy,"Jayce,Xin Zhao,Viktor,Xayah,Rakan","Rumble,Skarner,Azir,Varus,Neeko","Haetae,Vincenzo,Poby,Smash,Cloud","Kangin,Sylvie,Fisher,vital,Crack",blue,10.0,30.0,0,5.0,3.0,7.0,5.0,9.0,5.0,13.0,9.0,1164.0,-1164.0,0.0,1.2043,1.2043
LOLTMNT01_236247,LCKC,2025,T1 Esports Academy,Nongshim Esports Academy,"Renekton,Lillia,Corki,Jhin,Rell","Shen,Wukong,Ahri,Miss Fortune,Leona","Haetae,Vincenzo,Poby,Smash,Cloud","Kangin,Sylvie,Fisher,vital,Crack",red,30.0,10.0,0,4.0,5.0,6.0,8.0,7.0,9.0,11.0,12.0,374.0,-374.0,0.0,1.4063,1.4063
LOLTMNT01_236625,LCKC,2025,DN SOOPers Challengers,Hanwha Life Esports Challengers,"K'Sante,Lillia,Taliyah,Jhin,Nautilus","Sion,Viego,Ryze,Varus,Leona","Lancer,DDoiV,BuLLDoG,Slayer,Quantum","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing",blue,15.0,15.0,1,3.0,0.0,5.0,6.0,9.0,10.0,11.0,18.0,1737.0,-1737.0,1.0,1.2347,1.2347
LOLTMNT01_236659,LCKC,2025,KT Rolster Challengers,Gen.G Global Academy,"Jayce,Naafiri,Taliyah,Kalista,Renata Glasc","Sion,Xin Zhao,Azir,Ezreal,Karma","PerfecT,YoungJae,Zinie,Paduck,Way","Hanbyeol,Winner,Kemish,About,Namgung",blue,25.0,30.0,0,0.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,-266.0,266.0,0.0,0.569,0.569
LOLTMNT01_237114,LCKC,2025,Hanwha Life Esports Challengers,DN SOOPers Challengers,"Galio,Naafiri,Sylas,Ezreal,Braum","Rumble,Xin Zhao,Ahri,Lucian,Alistar","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Lancer,DDoiV,BuLLDoG,Slayer,Quantum",red,30.0,15.0,0,1.0,0.0,2.0,5.0,3.0,14.0,3.0,20.0,670.0,-670.0,1.0,0.9176,0.9176
LOLTMNT01_237131,LCKC,2025,DN SOOPers Challengers,Hanwha Life Esports Challengers,"Gwen,Skarner,Viktor,Zeri,Rell","Ambessa,Maokai,Azir,Xayah,Rakan","Lancer,DDoiV,BuLLDoG,Slayer,Quantum","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing",red,30.0,30.0,0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,-849.0,849.0,0.0,0.715,0.715
LOLTMNT01_237188,LCKC,2025,Gen.G Global Academy,KT Rolster Challengers,"Gragas,Vi,Orianna,Jinx,Nautilus","Renekton,Viego,Ahri,Xayah,Rakan","Hanbyeol,Winner,Kemish,About,Namgung","PerfecT,YoungJae,Zinie,Paduck,Way",red,30.0,20.0,0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,13.0,-781.0,781.0,0.0,0.7341,0.7341
LOLTMNT01_237821,LCKC,2025,BNK FEARX Youth,DN SOOPers Challengers,"Ornn,Naafiri,Azir,Ezreal,Alistar","Rumble,Xin Zhao,Ahri,Kai'Sa,Nautilus","Soboro,Willer,Daystar,Envyy,Career","Lancer,DDoiV,BuLLDoG,Slayer,Quantum",blue,10.0,10.0,1,5.0,6.0,7.0,10.0,8.0,13.0,11.0,17.0,-852.0,852.0,1.0,1.349,1.349
LOLTMNT01_237832,LCKC,2025,BNK FEARX Youth,DN SOOPers Challengers,"Renekton,Wukong,Viktor,Jinx,Lulu","Jax,Sejuani,Sylas,Zeri,Yuumi","Soboro,Willer,Daystar,Envyy,Career","Lancer,DDoiV,BuLLDoG,Slayer,Quantum",red,15.0,15.0,1,1.0,3.0,5.0,8.0,6.0,12.0,6.0,19.0,-303.0,303.0,0.0,0.9927,0.9927
LOLTMNT01_237833,LCKC,2025,HANJIN BRION Challengers,DRX Challengers,"Rumble,Pantheon,Sylas,Ezreal,Alistar","Jayce,Sejuani,Viktor,Miss Fortune,Rell","DDahyuk,Ellim,Starlit,Bull,Kice","Frog,Juhan,kyeahoo,Teddy,Pleata",red,30.0,15.0,0,1.0,3.0,3.0,5.0,5.0,7.0,10.0,11.0,-1467.0,1467.0,0.0,1.1559,1.1559
LOLTMNT01_237843,LCKC,2025,Hanwha Life Esports Challengers,Gen.G Global Academy,"Aatrox,Nocturne,Orianna,Jinx,Poppy","Gnar,Naafiri,Aurora,Xayah,Leona","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Hanbyeol,Winner,Kemish,About,Namgung",blue,10.0,30.0,0,6.0,0.0,7.0,2.0,12.0,4.0,25.0,4.0,2970.0,-2970.0,1.0,1.1662,1.1662
LOLTMNT01_238362,LCKC,2025,DRX Challengers,HANJIN BRION Challengers,"Ambessa,Naafiri,Ahri,Kai'Sa,Neeko","Gwen,Xin Zhao,Taliyah,Xayah,Rakan","Frog,Juhan,kyeahoo,Teddy,Pleata","DDahyuk,Ellim,Starlit,Bull,Kice",red,30.0,30.0,0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,982.0,-982.0,0.0,0.6515,0.6515
LOLTMNT01_238366,LCKC,2025,Hanwha Life Esports Challengers,Gen.G Global Academy,"Ambessa,Sejuani,Azir,Miss Fortune,Alistar","Jayce,Xin Zhao,Ahri,Ezreal,Rakan","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Hanbyeol,Winner,Kemish,About,Namgung",blue,15.0,15.0,1,3.0,4.0,6.0,9.0,10.0,12.0,19.0,17.0,-1190.0,1190.0,1.0,1.4516,1.4516
LOLTMNT01_238376,LCKC,2025,Gen.G Global Academy,Hanwha Life Esports Challengers,"Renekton,Nidalee,Viktor,Varus,Rell","Sion,Viego,Ryze,Jhin,Nautilus","Hanbyeol,Winner,Kemish,About,Namgung","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing",red,15.0,15.0,1,2.0,4.0,6.0,7.0,9.0,9.0,12.0,12.0,-359.0,359.0,0.0,1.209,1.209
LOLTMNT01_239169,LCKC,2025,Nongshim Esports Academy,Dplus Kia Challengers,"Ambessa,Xin Zhao,Aurora,Miss Fortune,Nautilus","Rumble,Sejuani,Yone,Jhin,Alistar","Kangin,Sylvie,Fisher,vital,Crack","Jaehyuk,Sharvel,Garden,Wayne,Berr",red,20.0,20.0,1,1.0,3.0,3.0,4.0,7.0,5.0,14.0,7.0,161.0,-161.0,0.0,0.9398,0.9398
LOLTMNT01_239182,LCKC,2025,Dplus Kia Challengers,Nongshim Esports Academy,"Renekton,Naafiri,Sylas,Ezreal,Rell","K'Sante,Wukong,Ahri,Varus,Leona","Jaehyuk,Sharvel,Garden,Wayne,Berr","Kangin,Sylvie,Fisher,vital,Crack",red,30.0,15.0,0,2.0,2.0,4.0,7.0,8.0,11.0,8.0,11.0,-782.0,782.0,0.0,1.0471,1.0471
LOLTMNT01_239670,LCKC,2025,KT Rolster Challengers,T1 Esports Academy,"Gnar,Skarner,Azir,Ezreal,Leona","Renekton,Viego,Taliyah,Kai'Sa,Rell","PerfecT,YoungJae,Zinie,Paduck,Way","Haetae,Vincenzo,Poby,Smash,Cloud",blue,20.0,20.0,1,1.0,0.0,3.0,3.0,9.0,9.0,9.0,9.0,496.0,-496.0,1.0,1.1125,1.1125
LOLTMNT01_239674,LCKC,2025,T1 Esports Academy,KT Rolster Challengers,"Ambessa,Sejuani,Viktor,Xayah,Rakan","Sion,Xin Zhao,Ahri,Varus,Poppy","Haetae,Vincenzo,Poby,Smash,Cloud","PerfecT,YoungJae,Zinie,Paduck,Way",red,30.0,20.0,0,1.0,4.0,1.0,4.0,1.0,6.0,3.0,9.0,-669.0,669.0,1.0,0.8,0.8
